year,style,all_format_releases,selected_format_releases,selected_format_coverage,cassette_releases,cassette_share
2022,House,13628,13145,0.9645582624009392,179,0.01313472262987966
2023,House,13404,12964,0.9671739779170397,167,0.012458967472396299
2024,House,11998,11724,0.9771628604767462,142,0.011835305884314052
2022,Techno,16842,15962,0.947749673435459,518,0.030756442227763924
2023,Techno,17278,16477,0.9536404676467184,416,0.024076860747771732
2024,Techno,15204,14597,0.9600762957116549,296,0.019468560905024992
2022,Ambient,20649,16297,0.7892391883384183,2772,0.13424378904547435
2023,Ambient,18221,14146,0.7763569507710883,2253,0.1236485374018989
2024,Ambient,14603,11228,0.7688831062110525,1941,0.13291789358351025
